cluster,n,maxH1_drop_to,drop
4,210,2.865964889526367,0.9103527069091797
5,230,2.989264488220215,0.787053108215332
0,243,3.776317596435547,0.0
1,223,3.776317596435547,0.0
2,137,3.776317596435547,0.0
3,127,3.776317596435547,0.0
6,80,3.776317596435547,0.0
