timepoint,max_h1_with_cc,max_h1_without_cc,ratio,p_value_nocc_permtest
D0,1.4669981002807617,1.345686912536621,0.9173065134024895,0.47
D1,1.322561264038086,1.2814531326293943,0.9689177866262475,0.58
D11,1.0793461799621582,1.1985654830932615,1.110455111941271,0.11
D2,1.7711811065673828,1.5683393478393557,0.8854765568716221,0.16
D4,1.3701486587524414,0.970799446105957,0.7085358511315824,0.24
D9,1.774221420288086,1.3895759582519531,0.7832032362828328,0.26
