,n_cells,max_persistence,n_h0_features,n_h1_features
D0,1560,"{0: 23.044363021850586, 1: 1.4669981002807617}",1560,1393
D1,324,"{0: 31.099071502685547, 1: 1.322561264038086}",324,255
D11,249,"{0: 32.41897964477539, 1: 1.0793461799621582}",249,124
D2,230,"{0: 34.61416244506836, 1: 1.7711811065673828}",230,124
D4,200,"{0: 50.18902587890625, 1: 1.3701486587524414}",200,54
D9,379,"{0: 30.85335922241211, 1: 1.774221420288086}",379,204
