group,n_cells,max_h1_original,max_h1_after_regressOut_SG2M,ratio_regress_over_original
pdx_YU006_residual,1000,4.651737213134766,5.959428787231445,1.2811189700063554
pdx_YU006_untreated,1000,2.890902519226074,3.674259185791016,1.2709730478129904
erl_D0,1000,1.268965721130371,2.8511276245117188,2.246812169182937
erl_D9,379,1.774221420288086,1.894913673400879,1.0680254740094366
erl_D11,249,1.0793461799621582,4.366426467895508,4.045436532742993
