group,n_pcs,max_h1
D9_erlotinib,10,1.958578109741211
D9_erlotinib,20,2.0779170989990234
D9_erlotinib,30,1.774221420288086
D9_erlotinib,50,1.0316896438598633
D14_osimertinib,10,3.1240720748901367
D14_osimertinib,20,5.558494567871094
D14_osimertinib,30,3.776317596435547
D14_osimertinib,50,4.403148651123047
