,D0,D1,D11,D2,D4,D9
D0,0.0,213.9039749349895,250.15568844094776,243.80646888478196,264.8508000433353,234.576234967388
D1,213.9039749349895,0.0,65.1608282328215,41.81872249605028,64.48561754718928,65.62389797002145
D11,250.15568844094776,65.1608282328215,0.0,34.19776405700526,26.162150768290704,38.96330639519908
D2,243.80646888478196,41.81872249605028,34.19776405700526,0.0,32.916822392374854,45.43071503944225
D4,264.8508000433353,64.48561754718928,26.162150768290704,32.916822392374854,0.0,42.39259579609745
D9,234.576234967388,65.62389797002145,38.96330639519908,45.43071503944225,42.39259579609745,0.0
