,YU-003_residual,YU-003_untreated,YU-006_residual,YU-006_untreated
YU-003_residual,0.0,487.5691005769609,217.22977598140915,544.3259688691467
YU-003_untreated,487.5691005769609,0.0,416.45287913970026,176.68380698681574
YU-006_residual,217.22977598140915,416.45287913970026,0.0,445.68897772863653
YU-006_untreated,544.3259688691467,176.68380698681574,445.68897772863653,0.0
